Date,S&P 500 Historical Prices by Month,Inflation Adjusted S&P 500 by Month,Shiller PE Ration by Month
1-Jan-60,58.03,520.91,18.34
1-Feb-60,55.78,499.01,17.55
1-Mar-60,55.02,492.21,17.29
1-Apr-60,55.73,496.87,17.43
1-May-60,55.22,492.33,17.26
1-Jun-60,57.26,508.79,17.82
1-Jul-60,55.84,496.17,17.38
1-Aug-60,56.51,502.13,17.58
1-Sep-60,54.81,487.02,17.05
1-Oct-60,53.73,474.22,16.61
1-Nov-60,55.47,489.58,17.15
1-Dec-60,56.8,501.32,17.56
1-Jan-61,59.72,527.09,18.47
1-Feb-61,62.17,548.71,19.23
1-Mar-61,64.12,565.92,19.84
1-Apr-61,65.83,581.01,20.38
1-May-61,66.5,586.93,20.6
1-Jun-61,65.62,579.16,20.33
1-Jul-61,65.44,573.72,20.15
1-Aug-61,67.79,596.31,20.94
1-Sep-61,67.26,589.68,20.71
1-Oct-61,68,596.17,20.92
1-Nov-61,71.08,623.17,21.86
1-Dec-61,71.74,628.95,22.04
1-Jan-62,69.07,605.55,21.2
1-Feb-62,70.22,613.58,21.45
1-Mar-62,70.29,614.19,21.44
1-Apr-62,68.05,592.65,20.66
1-May-62,62.99,548.58,19.09
1-Jun-62,55.63,484.49,16.83
1-Jul-62,56.97,494.52,17.14
1-Aug-62,58.52,507.97,17.57
1-Sep-62,58,501.8,17.32
1-Oct-62,56.17,485.97,16.74
1-Nov-62,60.04,519.45,17.85
1-Dec-62,62.64,541.95,18.59
1-Jan-63,65.06,562.88,19.26
1-Feb-63,65.92,570.33,19.47
1-Mar-63,65.67,566.3,19.29
1-Apr-63,68.76,592.95,20.15
1-May-63,70.14,604.85,20.51
1-Jun-63,70.11,602.61,20.38
1-Jul-63,69.07,591.74,19.97
1-Aug-63,70.98,608.1,20.47
1-Sep-63,72.85,624.12,20.96
1-Oct-63,73.03,623.63,20.89
1-Nov-63,72.62,620.13,20.72
1-Dec-63,74.17,631.32,21.04
1-Jan-64,76.45,650.73,21.63
1-Feb-64,77.39,658.73,21.83
1-Mar-64,78.8,670.73,22.17
1-Apr-64,79.94,680.43,22.42
1-May-64,80.72,687.07,22.57
1-Jun-64,80.24,680.78,22.3
1-Jul-64,83.22,703.8,22.98
1-Aug-64,82,695.71,22.65
1-Sep-64,83.41,705.4,22.89
1-Oct-64,84.85,717.58,23.21
1-Nov-64,85.44,720.25,23.23
1-Dec-64,83.96,707.78,22.75
1-Jan-65,86.12,725.99,23.27
1-Feb-65,86.75,731.3,23.37
1-Mar-65,86.83,729.63,23.25
1-Apr-65,87.97,736.86,23.42
1-May-65,89.28,747.83,23.71
1-Jun-65,85.04,707.81,22.39
1-Jul-65,84.91,706.73,22.3
1-Aug-65,86.49,719.88,22.67
1-Sep-65,89.38,743.93,23.37
1-Oct-65,91.39,758.26,23.78
1-Nov-65,92.15,764.57,23.93
1-Dec-65,91.73,758.69,23.69
1-Jan-66,93.32,771.84,24.06
1-Feb-66,92.69,761.84,23.7
1-Mar-66,88.88,728.25,22.61
1-Apr-66,91.6,745.88,23.11
1-May-66,86.78,706.64,21.85
1-Jun-66,86.06,698.61,21.56
1-Jul-66,85.84,694.68,21.38
1-Aug-66,80.65,648.69,19.91
1-Sep-66,77.81,625.84,19.16
1-Oct-66,77.13,616.6,18.83
1-Nov-66,80.99,647.46,19.71
1-Dec-66,81.33,650.18,19.74
1-Jan-67,84.45,675.12,20.43
1-Feb-67,87.36,698.39,21.07
1-Mar-67,89.42,712.69,21.44
1-Apr-67,90.96,722.77,21.69
1-May-67,92.59,733.51,21.95
1-Jun-67,91.43,722.14,21.55
1-Jul-67,93.01,732.42,21.8
1-Aug-67,94.49,741.86,22.03
1-Sep-67,95.81,749.98,22.22
1-Oct-67,95.66,746.59,22.07
1-Nov-67,92.66,721.03,21.26
1-Dec-67,95.3,739.39,21.75
1-Jan-68,95.04,733.05,21.51
1-Feb-68,90.75,697.91,20.42
1-Mar-68,89.09,683.15,19.93
1-Apr-68,95.67,731.47,21.28
1-May-68,97.87,746.12,21.63
1-Jun-68,100.5,761.76,22
1-Jul-68,100.3,755.88,21.75
1-Aug-68,98.11,737.27,21.14
1-Sep-68,101.3,759.07,21.68
1-Oct-68,103.8,773.4,22
1-Nov-68,105.4,783.1,22.2
1-Dec-68,106.5,789.04,22.28
1-Jan-69,102,753.58,21.19
1-Feb-69,101.5,745.7,20.9
1-Mar-69,99.3,723.47,20.2
1-Apr-69,101.3,733.98,20.43
1-May-69,104.6,755.8,20.97
1-Jun-69,99.14,712.44,19.71
1-Jul-69,94.71,676.9,18.68
1-Aug-69,94.18,669.48,18.43
1-Sep-69,94.51,670.01,18.4
1-Oct-69,95.52,673.54,18.45
1-Nov-69,96.21,674.79,18.44
1-Dec-69,91.11,635.63,17.33
1-Jan-70,90.31,628.38,17.09
1-Feb-70,87.16,603.27,16.37
1-Mar-70,88.65,610.37,16.53
1-Apr-70,85.95,587.17,15.87
1-May-70,76.06,518.26,13.98
1-Jun-70,75.59,512.4,13.8
1-Jul-70,75.72,510.65,13.73
1-Aug-70,77.92,525.49,14.1
1-Sep-70,82.58,554.07,14.84
1-Oct-70,84.37,563.21,15.06
1-Nov-70,84.28,559.77,14.95
1-Dec-70,90.05,595.09,15.87
1-Jan-71,93.49,617.82,16.46
1-Feb-71,97.11,640.13,17.03
1-Mar-71,99.6,654.9,17.4
1-Apr-71,103,675.57,17.92
1-May-71,101.6,663.08,17.56
1-Jun-71,99.72,646,17.08
1-Jul-71,99,639.76,16.89
1-Aug-71,97.24,626.85,16.52
1-Sep-71,99.4,640.77,16.86
1-Oct-71,97.29,625.64,16.43
1-Nov-71,92.78,596.64,15.64
1-Dec-71,99.17,634.63,16.6
1-Jan-72,103.3,661.05,17.26
1-Feb-72,105.2,669.95,17.46
1-Mar-72,107.7,684.22,17.81
1-Apr-72,108.8,689.54,17.92
1-May-72,107.7,680.93,17.66
1-Jun-72,108,681.19,17.64
1-Jul-72,107.2,672.91,17.4
1-Aug-72,111,695.11,17.94
1-Sep-72,109.4,683.46,17.61
1-Oct-72,109.6,681.47,17.53
1-Nov-72,115.1,713.98,18.34
1-Dec-72,117.5,727.16,18.65
1-Jan-73,118.4,731.01,18.71
1-Feb-73,114.2,700.14,17.89
1-Mar-73,112.4,682.74,17.41
1-Apr-73,110.3,665.38,16.94
1-May-73,107.2,642.26,16.31
1-Jun-73,104.8,623.62,15.81
1-Jul-73,105.8,628.15,15.89
1-Aug-73,103.8,605.34,15.28
1-Sep-73,105.6,614.48,15.48
1-Oct-73,109.8,633.31,15.91
1-Nov-73,102,584.48,14.65
1-Dec-73,94.78,539.58,13.49
1-Jan-74,96.11,542.45,13.53
1-Feb-74,93.45,520.73,12.96
1-Mar-74,97.44,536.15,13.31
1-Apr-74,92.46,506.63,12.55
1-May-74,89.67,485.28,12
1-Jun-74,89.79,481.96,11.89
1-Jul-74,79.31,422.26,10.39
1-Aug-74,76.03,399.94,9.82
1-Sep-74,68.12,354.08,8.68
1-Oct-74,69.44,357.41,8.74
1-Nov-74,71.74,366.38,8.95
1-Dec-74,67.07,339.89,8.29
1-Jan-75,72.56,366.3,8.92
1-Feb-75,80.1,401.28,9.76
1-Mar-75,83.78,418.13,10.16
1-Apr-75,84.72,421.22,10.23
1-May-75,90.1,445.44,10.82
1-Jun-75,92.4,453.4,11.01
1-Jul-75,92.49,448.82,10.9
1-Aug-75,85.71,415.16,10.09
1-Sep-75,84.67,407.86,9.92
1-Oct-75,88.57,424.32,10.33
1-Nov-75,90.07,428.38,10.44
1-Dec-75,88.7,420.35,10.25
1-Jan-76,96.86,458.19,11.19
1-Feb-76,100.6,474.18,11.59
1-Mar-76,101.1,475.68,11.63
1-Apr-76,101.9,477.74,11.69
1-May-76,101.2,471.1,11.53
1-Jun-76,101.8,471.39,11.54
1-Jul-76,104.2,479.97,11.76
1-Aug-76,103.3,473.33,11.6
1-Sep-76,105.5,481.74,11.81
1-Oct-76,101.9,462.89,11.35
1-Nov-76,101.2,458.91,11.25
1-Dec-76,104.7,473.15,11.6
1-Jan-77,103.8,466.68,11.44
1-Feb-77,101,449.48,11.01
1-Mar-77,100.6,444.69,10.9
1-Apr-77,99.05,434.19,10.64
1-May-77,98.76,430.77,10.55
1-Jun-77,99.29,430.23,10.53
1-Jul-77,100.2,432.03,10.57
1-Aug-77,97.75,420.09,10.27
1-Sep-77,96.23,412.21,10.07
1-Oct-77,93.74,400.24,9.77
1-Nov-77,94.28,400.6,9.77
1-Dec-77,93.82,397.36,9.68
1-Jan-78,90.25,379.79,9.24
1-Feb-78,88.98,372.07,9.05
1-Mar-78,88.82,368.47,8.95
1-Apr-78,92.71,381.6,9.26
1-May-78,97.41,397.21,9.63
1-Jun-78,97.66,393.96,9.55
1-Jul-78,97.19,389.08,9.43
1-Aug-78,103.9,414.05,10.02
1-Sep-78,103.9,410.93,9.94
1-Oct-78,100.6,394.33,9.53
